threads_number,minimum,maximum,average,collect_time
15,44.666666666666664,48.666666666666664,46.42222222222222,4.0
250,2.0,5.333333333333333,3.389333333333333,23.0
35,19.0,21.333333333333332,20.17142857142857,6.0
50,13.0,15.333333333333334,13.926666666666668,6.0
25,25.333333333333332,29.333333333333332,27.88,4.333333333333333
100,6.0,11.0,7.946666666666666,11.0
85,10.0,14.0,11.929411764705883,9.333333333333334
150,4.0,9.0,5.664444444444444,14.333333333333334
65,10.0,12.0,10.897435897435898,11.666666666666666
200,3.0,9.0,4.6049999999999995,19.0
5,134.0,137.0,135.73333333333335,2.6666666666666665
